City_ID,City,Lat,Lng,Max Temp °K,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp °C
69,nampula,-15.1165,39.2666,295.12,100,75,2.06,MZ,1675791355,21.970000000000027
70,olavarria,-36.8927,-60.3225,309.71,17,0,5.08,AR,1675791356,36.56
71,tiksi,71.6872,128.8694,240.96,98,100,1.68,RU,1675791357,-32.18999999999997
72,kedzierzyn-kozle,50.3498,18.2261,270.66,73,98,2.05,PL,1675791357,-2.4899999999999523
73,ostrow mazowiecka,52.8024,21.8951,274.05,72,100,2.24,PL,1675791357,0.9000000000000341
74,puerto ayora,-0.7393,-90.3518,303.13,88,30,4.02,EC,1675791358,29.980000000000015
75,san jeronimo,-11.9472,-75.2829,289.87,50,65,2.76,PE,1675791358,16.720000000000027
76,longyearbyen,78.2186,15.6401,269.06,74,75,19.03,SJ,1675791359,-4.089999999999975
77,kavieng,-2.5744,150.7967,299.35,84,100,2.45,PG,1675791359,26.200000000000045
78,bensonville,6.4461,-10.6125,301.9,69,78,3.79,LR,1675791360,28.75
79,ipixuna,-1.7625,-48.8043,302.78,65,82,2.04,BR,1675791360,29.629999999999995
80,pisco,-13.7,-76.2167,298.18,83,0,4.12,PE,1675791361,25.03000000000003
81,saryg-sep,51.5,95.6,248.17,99,65,1.34,RU,1675791361,-24.97999999999999
82,port lincoln,-34.7333,135.8667,290.81,81,0,6.54,AU,1675791362,17.660000000000025
83,cape town,-33.9258,18.4232,295.99,78,20,10.8,ZA,1675791124,22.840000000000032
84,saint-pierre,-21.3393,55.4781,299.97,74,75,4.12,RE,1675791363,26.82000000000005
85,nome,64.5011,-165.4064,251.54,91,0,0.0,US,1675791218,-21.609999999999985
86,kautokeino,69.0125,23.0412,270.6,73,23,9.17,NO,1675791366,-2.5499999999999545
87,makungu,-8.7333,35.2833,291.13,95,92,1.89,TZ,1675791366,17.980000000000018
88,lakes entrance,-37.8811,147.981,285.83,91,17,1.3,AU,1675791367,12.680000000000009
89,torbay,47.6666,-52.7314,268.47,82,100,9.83,CA,1675791368,-4.67999999999995
90,katsuura,35.1333,140.3,283.6,84,100,6.55,JP,1675791163,10.450000000000044
91,kahului,20.8947,-156.47,296.95,86,20,5.81,US,1675791339,23.80000000000001
92,antalaha,-14.9003,50.2788,297.3,90,100,2.75,MG,1675791370,24.150000000000038
93,alice springs,-23.7,133.8833,298.9,69,34,0.51,AU,1675791097,25.75
94,chuy,-33.6971,-53.4616,302.48,43,2,4.92,UY,1675791372,29.33000000000004
95,umm lajj,25.0213,37.2685,291.32,57,100,6.85,SA,1675791372,18.170000000000016
96,doha,25.2867,51.5333,298.14,46,0,3.6,QA,1675791373,24.99000000000001
97,stykkisholmur,65.0757,-22.7297,270.03,56,100,15.48,IS,1675791374,-3.1200000000000045
98,comodoro rivadavia,-45.8667,-67.5,298.07,29,0,6.17,AR,1675791375,24.920000000000016
99,kupang,-10.1667,123.5833,299.2,86,91,4.52,ID,1675791375,26.05000000000001
100,sorland,67.667,12.6934,278.07,81,75,14.4,NO,1675791376,4.920000000000016
101,cabo san lucas,22.8909,-109.9124,297.62,62,40,2.06,MX,1675791360,24.470000000000027
102,egvekinot,66.3167,-179.1667,243.41,87,98,3.99,RU,1675791172,-29.73999999999998
103,coihaique,-45.5752,-72.0662,296.49,46,40,4.12,CL,1675791377,23.340000000000032
104,avarua,-21.2078,-159.775,299.18,89,75,2.06,CK,1675791292,26.03000000000003
105,butembo,0.15,29.2833,290.07,56,66,1.15,CD,1675791378,16.920000000000016
106,port-gentil,-0.7193,8.7815,301.13,78,40,3.09,GA,1675791379,27.980000000000015
107,hithadhoo,-0.6,73.0833,300.81,68,100,4.07,MV,1675791380,27.660000000000025
108,talnakh,69.4865,88.3972,251.04,97,99,2.75,RU,1675791381,-22.109999999999985
109,lishui,28.4604,119.9103,285.18,95,99,1.22,CN,1675791381,12.03000000000003
110,lagoa,39.05,-27.9833,286.14,61,67,8.89,PT,1675791382,12.990000000000007
111,ngunguru,-35.6167,174.5,289.35,80,72,3.2,NZ,1675791383,16.200000000000045
112,souillac,-20.5167,57.5167,300.36,78,75,5.14,MU,1675791384,27.21000000000004
113,san javier,37.8063,-0.8374,285.42,65,100,8.49,ES,1675791385,12.27000000000004
114,atikokan,48.7555,-91.6216,266.52,82,100,4.9,CA,1675791386,-6.629999999999996
115,teguise,29.0605,-13.564,290.27,59,75,3.6,ES,1675791387,17.120000000000005
116,severo-kurilsk,50.6789,156.125,267.78,66,80,5.83,RU,1675791234,-5.3700000000000045
117,horsham,51.064,-0.3272,279.21,74,0,1.03,GB,1675791210,6.060000000000002
118,lata,40.1629,-8.3327,281.26,63,4,0.51,PT,1675791388,8.110000000000014
119,adrar,20.5022,-10.0711,295.64,15,16,4.94,MR,1675791389,22.49000000000001
